assay,dataset,cutoff,gene_filter,fc_mode,n_total,group,p,n_genes,med_log2fc
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,4.924431767546023e-4,50,0.235264765344962
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.589638551626567,5,0.13437982788897024
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,0.06110484085680316,50,0.10023049258671207
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.41849223344681974,5,0.012679569002822817
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,1.054912818376731e-9,50,0.24790812216926916
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.059058229090536735,5,0.2853572675736967
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,8.945612972936735e-7,50,0.40004480400688347
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.1775298524121535,5,0.5046807299237247
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,2.9613394097246777e-7,50,0.509420339826641
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.1775298524121535,5,0.6064881706086335
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,2.2894180747919092e-7,50,0.6262217983498846
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.1775298524121535,5,0.5554271451859144
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,1.0380343908492547e-8,50,0.6457908877862057
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.1775298524121535,5,0.37443669586209827
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,1.9294792751825317e-8,50,0.7395984065954626
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.1775298524121535,5,0.8060257514314089
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,4.132317482570693e-6,50,0.4706211013845577
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.1775298524121535,5,0.6185781706388801
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,7.790492207218423e-10,50,0.6295842125179335
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.059058229090536735,5,0.5709314482450467
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,2.5870454662995383e-6,50,0.6736088917166332
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.2807126652684958,5,0.9783108675912147
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,3.2695168251150032e-9,50,0.7938143708656349
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.059058229090536735,5,1.01363209204654
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,57,oriC,4.732873763063265e-8,49,0.8666027960916052
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,57,ter,0.1775298524121535,5,0.7544407970104355
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,oriC,6.450677967084307e-8,50,0.6848492655763165
proteomics,schmidt_2016,rel20_abs0.1,high,filtered,58,ter,0.1775298524121535,5,1.0177005491487636
